sku;titulo;image;media_gallery;small_image;thumbnail;status
G_CM_BLACK_SABBATH_CARICATURA_BRANCA;Black Sabbath Caricatura Branca;+fotos_site_com_marca/052947.jpg;fotos_site_com_marca/052947.jpg;fotos_site_com_marca/small/052947.jpg;fotos_site_com_marca/thumb/052947.jpg;1
G_CM_BLACK_SABBATH_COM_DIO;Black Sabbath Com Dio;;;;;2
G_CM_BLACK_SABBATH_HEAVEN_AND_HELL;Black Sabbath Heaven And Hell;+fotos_site_com_marca/052077.jpg;"fotos_site_com_marca/052077.jpg;fotos_site_com_marca/052077_C.jpg";fotos_site_com_marca/small/052077.jpg;fotos_site_com_marca/thumb/052077.jpg;1
G_CM_BLACK_SABBATH_MOB_RULES;Black Sabbath Mob Rules;+fotos_site_com_marca/051917.jpg;"fotos_site_com_marca/051917.jpg;fotos_site_com_marca/051917_C.jpg";fotos_site_com_marca/small/051917.jpg;fotos_site_com_marca/thumb/051917.jpg;1
G_CM_BLACK_SABBATH_ROXA;Black Sabbath Roxa;+fotos_site_com_marca/050496.jpg;"fotos_site_com_marca/050496.jpg;fotos_site_com_marca/050496_C.jpg";fotos_site_com_marca/small/050496.jpg;fotos_site_com_marca/thumb/050496.jpg;1
G_CM_BLACK_SABBATH_US_TOUR;Black Sabbath Us Tour;+fotos_site_com_marca/052972.jpg;fotos_site_com_marca/052972.jpg;fotos_site_com_marca/small/052972.jpg;fotos_site_com_marca/thumb/052972.jpg;1
G_CM_BLACK_SABBATH_VOL_4;Black Sabbath Vol 4;+fotos_site_com_marca/050280.jpg;fotos_site_com_marca/050280.jpg;fotos_site_com_marca/small/050280.jpg;fotos_site_com_marca/thumb/050280.jpg;1
G_CM_BLEACH_BRANCA_VIRUS;Bleach Branca Virus;+fotos_site_com_marca/053426.jpg;fotos_site_com_marca/053426.jpg;fotos_site_com_marca/small/053426.jpg;fotos_site_com_marca/thumb/053426.jpg;1
G_CM_BLEACH_PRETA_HCD;Bleach Preta Hcd;+fotos_site_com_marca/053482.jpg;"fotos_site_com_marca/053482.jpg;fotos_site_com_marca/053482_C.jpg";fotos_site_com_marca/small/053482.jpg;fotos_site_com_marca/thumb/053482.jpg;1
G_CM_BLIND_GUARDIAN;Blind Guardian;+fotos_site_com_marca/051847.jpg;fotos_site_com_marca/051847.jpg;fotos_site_com_marca/small/051847.jpg;fotos_site_com_marca/thumb/051847.jpg;1
G_CM_BON_JOVI_LOGO_DOURADO;Bon Jovi Logo Dourado;+fotos_site_com_marca/051368.jpg;"fotos_site_com_marca/051368.jpg;fotos_site_com_marca/051368_C.jpg";fotos_site_com_marca/small/051368.jpg;fotos_site_com_marca/thumb/051368.jpg;1
